path,name,depth,type,observed_exists,expected_role,notes
E:\IMPERIUM\ARCHIVE,ARCHIVE,0,folder,YES,archive_zone,Root-level shallow observation
E:\IMPERIUM\ARTIFACTS,ARTIFACTS,0,folder,YES,artifacts_root,Root-level shallow observation
E:\IMPERIUM\OBSERVED,OBSERVED,0,folder,YES,observed_zone,Root-level shallow observation
E:\IMPERIUM\PC_ENGINEERING_ROOM,PC_ENGINEERING_ROOM,0,folder,YES,engineering_zone,Root-level shallow observation
E:\IMPERIUM\SSH_COMMAND_LIBRARY,SSH_COMMAND_LIBRARY,0,folder,YES,ssh_library_zone,Root-level shallow observation
E:\IMPERIUM\PC_ENGINEERING_ROOM\00_README_RU.md,00_README_RU.md,1,file,YES,shallow_aux_file,One-level observation under E:\IMPERIUM\PC_ENGINEERING_ROOM
E:\IMPERIUM\PC_ENGINEERING_ROOM\00_SYSTEM_MAPS,00_SYSTEM_MAPS,1,folder,YES,system_maps,One-level observation under E:\IMPERIUM\PC_ENGINEERING_ROOM
E:\IMPERIUM\PC_ENGINEERING_ROOM\01_CURRENT_STATE,01_CURRENT_STATE,1,folder,YES,current_state,One-level observation under E:\IMPERIUM\PC_ENGINEERING_ROOM
E:\IMPERIUM\PC_ENGINEERING_ROOM\02_ARCHITECTURE_ATLAS,02_ARCHITECTURE_ATLAS,1,folder,YES,architecture_atlas,One-level observation under E:\IMPERIUM\PC_ENGINEERING_ROOM
E:\IMPERIUM\PC_ENGINEERING_ROOM\03_OWNER_DECISIONS,03_OWNER_DECISIONS,1,folder,YES,owner_decisions,One-level observation under E:\IMPERIUM\PC_ENGINEERING_ROOM
E:\IMPERIUM\PC_ENGINEERING_ROOM\04_REVIEW_BENCH,04_REVIEW_BENCH,1,folder,YES,review_bench,One-level observation under E:\IMPERIUM\PC_ENGINEERING_ROOM
E:\IMPERIUM\PC_ENGINEERING_ROOM\05_TEST_LAB,05_TEST_LAB,1,folder,YES,test_lab,One-level observation under E:\IMPERIUM\PC_ENGINEERING_ROOM
E:\IMPERIUM\PC_ENGINEERING_ROOM\06_ORGANS_WORKSHOP,06_ORGANS_WORKSHOP,1,folder,YES,organs_workshop,One-level observation under E:\IMPERIUM\PC_ENGINEERING_ROOM
E:\IMPERIUM\PC_ENGINEERING_ROOM\07_WORKER_TEMPLATE_LAB,07_WORKER_TEMPLATE_LAB,1,folder,YES,worker_template_lab,One-level observation under E:\IMPERIUM\PC_ENGINEERING_ROOM
E:\IMPERIUM\PC_ENGINEERING_ROOM\08_LOCAL_LLM_LAB,08_LOCAL_LLM_LAB,1,folder,YES,local_llm_lab,One-level observation under E:\IMPERIUM\PC_ENGINEERING_ROOM
E:\IMPERIUM\PC_ENGINEERING_ROOM\09_INTERNET_RESEARCH_GATEWAY,09_INTERNET_RESEARCH_GATEWAY,1,folder,YES,internet_gateway,One-level observation under E:\IMPERIUM\PC_ENGINEERING_ROOM
E:\IMPERIUM\PC_ENGINEERING_ROOM\10_RECEIPTS_AND_AUDIT,10_RECEIPTS_AND_AUDIT,1,folder,YES,receipts_audit,One-level observation under E:\IMPERIUM\PC_ENGINEERING_ROOM
E:\IMPERIUM\PC_ENGINEERING_ROOM\11_QUARANTINE_NO_DELETE,11_QUARANTINE_NO_DELETE,1,folder,YES,quarantine_no_delete,One-level observation under E:\IMPERIUM\PC_ENGINEERING_ROOM
E:\IMPERIUM\PC_ENGINEERING_ROOM\99_DASHBOARD,99_DASHBOARD,1,folder,YES,dashboard,One-level observation under E:\IMPERIUM\PC_ENGINEERING_ROOM
E:\IMPERIUM\SSH_COMMAND_LIBRARY\00_CONNECTION_PROFILES,00_CONNECTION_PROFILES,1,folder,YES,connection_profiles,One-level observation under E:\IMPERIUM\SSH_COMMAND_LIBRARY
E:\IMPERIUM\SSH_COMMAND_LIBRARY\00_MACHINE_README.json,00_MACHINE_README.json,1,file,YES,shallow_aux_file,One-level observation under E:\IMPERIUM\SSH_COMMAND_LIBRARY
E:\IMPERIUM\SSH_COMMAND_LIBRARY\01_SEND_PROMPT_TO_VM,01_SEND_PROMPT_TO_VM,1,folder,YES,send_prompt_zone,One-level observation under E:\IMPERIUM\SSH_COMMAND_LIBRARY
E:\IMPERIUM\SSH_COMMAND_LIBRARY\02_FETCH_FROM_VM,02_FETCH_FROM_VM,1,folder,YES,fetch_from_vm_zone,One-level observation under E:\IMPERIUM\SSH_COMMAND_LIBRARY
E:\IMPERIUM\SSH_COMMAND_LIBRARY\03_OPEN_ON_VM,03_OPEN_ON_VM,1,folder,YES,open_on_vm_zone,One-level observation under E:\IMPERIUM\SSH_COMMAND_LIBRARY
E:\IMPERIUM\SSH_COMMAND_LIBRARY\04_DIAGNOSTICS,04_DIAGNOSTICS,1,folder,YES,diagnostics_zone,One-level observation under E:\IMPERIUM\SSH_COMMAND_LIBRARY
E:\IMPERIUM\SSH_COMMAND_LIBRARY\05_SUCCESSFUL_RECIPES,05_SUCCESSFUL_RECIPES,1,folder,YES,successful_recipes,One-level observation under E:\IMPERIUM\SSH_COMMAND_LIBRARY
E:\IMPERIUM\SSH_COMMAND_LIBRARY\06_TOOLS,06_TOOLS,1,folder,YES,tools_zone,One-level observation under E:\IMPERIUM\SSH_COMMAND_LIBRARY
E:\IMPERIUM\SSH_COMMAND_LIBRARY\README_AGENT.md,README_AGENT.md,1,file,YES,shallow_aux_file,One-level observation under E:\IMPERIUM\SSH_COMMAND_LIBRARY
E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651,VM2_ROUTE_BASELINE_20260508_1651,1,folder,YES,vm2_route_baseline_context,One-level observation under E:\IMPERIUM\SSH_COMMAND_LIBRARY
E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651.zip,VM2_ROUTE_BASELINE_20260508_1651.zip,1,file,YES,shallow_aux_file,One-level observation under E:\IMPERIUM\SSH_COMMAND_LIBRARY
E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651.zip.sha256,VM2_ROUTE_BASELINE_20260508_1651.zip.sha256,1,file,YES,shallow_aux_file,One-level observation under E:\IMPERIUM\SSH_COMMAND_LIBRARY
E:\IMPERIUM\ARTIFACTS\00_AGENT_MAP.md,00_AGENT_MAP.md,1,file,YES,artifacts_root_map,One-level observation under E:\IMPERIUM\ARTIFACTS
E:\IMPERIUM\ARTIFACTS\ARTIFACT_ROUTING_POLICY.md,ARTIFACT_ROUTING_POLICY.md,1,file,YES,artifact_policy,One-level observation under E:\IMPERIUM\ARTIFACTS
E:\IMPERIUM\ARTIFACTS\ARTIFACT_TASK_FOLDER_TEMPLATE.md,ARTIFACT_TASK_FOLDER_TEMPLATE.md,1,file,YES,artifact_template,One-level observation under E:\IMPERIUM\ARTIFACTS
E:\IMPERIUM\ARTIFACTS\INDEX.csv,INDEX.csv,1,file,YES,artifacts_index_csv,One-level observation under E:\IMPERIUM\ARTIFACTS
E:\IMPERIUM\ARTIFACTS\INDEX.json,INDEX.json,1,file,YES,artifacts_index_json,One-level observation under E:\IMPERIUM\ARTIFACTS
E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING,TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING,1,folder,YES,shallow_unknown_folder,One-level observation under E:\IMPERIUM\ARTIFACTS
E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR,TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR,1,folder,YES,shallow_unknown_folder,One-level observation under E:\IMPERIUM\ARTIFACTS
E:\IMPERIUM\ARTIFACTS\TASK-20260508-0005-FOLDER-SEMANTIC-MAP-V1,TASK-20260508-0005-FOLDER-SEMANTIC-MAP-V1,1,folder,YES,shallow_unknown_folder,One-level observation under E:\IMPERIUM\ARTIFACTS
E:\IMPERIUM\OBSERVED\LEGACY_ROOT_IMPORTS_20260508_1731,LEGACY_ROOT_IMPORTS_20260508_1731,1,folder,YES,legacy_observed_import,One-level observation under E:\IMPERIUM\OBSERVED
E:\IMPERIUM\OBSERVED\THRONE_REPO_COPY,THRONE_REPO_COPY,1,folder,YES,observed_throne_copy,One-level observation under E:\IMPERIUM\OBSERVED
E:\IMPERIUM\OBSERVED\VM3_REPO_COPY,VM3_REPO_COPY,1,folder,YES,observed_vm3_copy,One-level observation under E:\IMPERIUM\OBSERVED
E:\IMPERIUM\ARCHIVE\2026_04_DELETE_LATER,2026_04_DELETE_LATER,1,folder,YES,legacy_archive_batch,One-level observation under E:\IMPERIUM\ARCHIVE
E:\IMPERIUM\ARCHIVE\ROOT_CLEANUP_20260508_1731,ROOT_CLEANUP_20260508_1731,1,folder,YES,root_cleanup_archive_batch,One-level observation under E:\IMPERIUM\ARCHIVE
