"relative_path","absolute_path_or_remote_path","location_type","size_bytes_if_available","sha256_if_available","notes"
"00_AGENT_MAP.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\00_AGENT_MAP.md","pc_local","1588","9759197ce0c7d0ebe92123885ce07861e0f1c3842fe577ecb4cb5eb087f625cb","generated_or_report_file"
"01_INPUTS\INPUT_EVIDENCE_LIST.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\01_INPUTS\INPUT_EVIDENCE_LIST.md","pc_local","444","9de250da61c8521bd482329d9fff29454847c269697a0b8009846503fff2a7ca","generated_or_report_file"
"02_OUTPUTS\COMMAND_EXAMPLES\PYTHON_COMMAND_EXAMPLES_V2.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\COMMAND_EXAMPLES\PYTHON_COMMAND_EXAMPLES_V2.md","pc_local","1078","84db74a4bf3b57f73829757f67788deff2ec0ea1eb996814f6c46534f73ac969","generated_or_report_file"
"02_OUTPUTS\INDEXES\ARTIFACT_TASK_INDEX_V2.csv","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\INDEXES\ARTIFACT_TASK_INDEX_V2.csv","pc_local","3898","614bc7e91a867393986eb834ac9afd2b7a48a45fc1162998611879e6e6fd319a","generated_or_report_file"
"02_OUTPUTS\INDEXES\ARTIFACT_TASK_INDEX_V2.json","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\INDEXES\ARTIFACT_TASK_INDEX_V2.json","pc_local","9305","1e1d4cb8a1347c59f428fa0f882ca481da2f4ae27894ef25ed5004566253ada6","generated_or_report_file"
"02_OUTPUTS\INDEXES\EXECUTOR_INDEX_V1.csv","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\INDEXES\EXECUTOR_INDEX_V1.csv","pc_local","2169","6222be4082b6489fccd784b8fb65c4f101f73ad29b8e873792c705d5888240a2","generated_or_report_file"
"02_OUTPUTS\INDEXES\EXECUTOR_INDEX_V1.json","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\INDEXES\EXECUTOR_INDEX_V1.json","pc_local","4971","b4f5b7b9b1e7fcc3da0b8c67fc246847fc0daf9a2ac647cb8d7d59afa0e4338f","generated_or_report_file"
"02_OUTPUTS\REDACTED_HANDOFF_V2\CONTINUITY_PACK_SECURITY_REDACTION_REPORT.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\REDACTED_HANDOFF_V2\CONTINUITY_PACK_SECURITY_REDACTION_REPORT.md","pc_local","1011","5a20ef55e21d2ea901f6143aee190608f4cabe6d8e2ebcd1572d1092a94881f1","generated_or_report_file"
"02_OUTPUTS\REDACTED_HANDOFF_V2\CONTINUITY_SUMMARY_V2.json","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\REDACTED_HANDOFF_V2\CONTINUITY_SUMMARY_V2.json","pc_local","1190","3fd6c28e1de23783044590788cbcd3bed7069e640988ba65975d30c54f3bd9d1","generated_or_report_file"
"02_OUTPUTS\REDACTED_HANDOFF_V2\CONTINUITY_SUMMARY_V2.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\REDACTED_HANDOFF_V2\CONTINUITY_SUMMARY_V2.md","pc_local","1078","2334b8b79ccac3b907bffe32ea8353f437f39ab5f0cad01f7304d3d40789836f","generated_or_report_file"
"02_OUTPUTS\REDACTED_HANDOFF_V2\LEGACY_VM3_ROUTE_POLICY.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\REDACTED_HANDOFF_V2\LEGACY_VM3_ROUTE_POLICY.md","pc_local","360","246d63296240c1eba3d234b0d377037df3c4f4ff270b9920f0812f89a73301b2","generated_or_report_file"
"02_OUTPUTS\REDACTED_HANDOFF_V2\NEW_CHAT_HANDOFF_REDACTED_V2.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\REDACTED_HANDOFF_V2\NEW_CHAT_HANDOFF_REDACTED_V2.md","pc_local","1910","33f807bd327490748e15b56d12c737991390cef90df95742463b611af8eb3dad","generated_or_report_file"
"02_OUTPUTS\REDACTED_HANDOFF_V2\OPEN_BLOCKERS_V2.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\REDACTED_HANDOFF_V2\OPEN_BLOCKERS_V2.md","pc_local","1171","6aee0681111a99b1552eb6704af7f878889a616b2090c3140211c474dc59f377","generated_or_report_file"
"02_OUTPUTS\SANITIZED_EVIDENCE\FOLDER_SEMANTIC_MAP_SUMMARY.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\SANITIZED_EVIDENCE\FOLDER_SEMANTIC_MAP_SUMMARY.md","pc_local","242","23f157bd8907c4b15cc3cf6c7710c94a2985264362a2ae82d62ee03855a05337","generated_or_report_file"
"02_OUTPUTS\SANITIZED_EVIDENCE\MANUAL_PROOF_SUMMARY.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\SANITIZED_EVIDENCE\MANUAL_PROOF_SUMMARY.md","pc_local","229","1b98226a33de30b761da292294d7c1f18075187556004df32671929c259a3d5e","generated_or_report_file"
"02_OUTPUTS\SANITIZED_EVIDENCE\PYTHON_TOOLS_SUMMARY.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\SANITIZED_EVIDENCE\PYTHON_TOOLS_SUMMARY.md","pc_local","234","14e124f5a7cf8d1b5676b809ba17a73667a491d4b2aec8deba227ea93c7467f7","generated_or_report_file"
"02_OUTPUTS\SANITIZED_EVIDENCE\ROOT_STRUCTURE_SUMMARY.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\SANITIZED_EVIDENCE\ROOT_STRUCTURE_SUMMARY.md","pc_local","193","936bf58130565cdb12a69311021b957b7a5804c0c5acad473416082c57dc86b1","generated_or_report_file"
"02_OUTPUTS\SANITIZED_EVIDENCE\SMOKE_TEST_VERDICT_SUMMARY.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\SANITIZED_EVIDENCE\SMOKE_TEST_VERDICT_SUMMARY.md","pc_local","275","9ac8d43e31b836c3094d9a561121690959424a744efa7bb46409f601ab2a5585","generated_or_report_file"
"02_OUTPUTS\SANITIZED_EVIDENCE\VM2_WORKER_ROOM_SUMMARY.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\SANITIZED_EVIDENCE\VM2_WORKER_ROOM_SUMMARY.md","pc_local","240","f7e34ebe1ce6d16aa068c484f1e364dc00fbac08580d055801765e20d81597ee","generated_or_report_file"
"02_OUTPUTS\SCHEMAS\RECEIPT_SCHEMA_V1.json","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\SCHEMAS\RECEIPT_SCHEMA_V1.json","pc_local","949","52a78c1da97a21e7afa9412c083d735a9e185fc2f26578946c6e276b9647a998","generated_or_report_file"
"02_OUTPUTS\SCHEMAS\RECEIPT_SCHEMA_V1.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\SCHEMAS\RECEIPT_SCHEMA_V1.md","pc_local","733","5008002df9c8f3417f631cfd97c0dd161a8ccf5dd916d1534f7788dc04e84fef","generated_or_report_file"
"03_RECEIPTS\CONTINUITY_PACK_REDACTION_REPAIR_RECEIPT.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\03_RECEIPTS\CONTINUITY_PACK_REDACTION_REPAIR_RECEIPT.md","pc_local","1056","471a61d0f5e7afda6cdfddf225e145b1ab494c53429fa15c9a2390a83c6556a7","generated_or_report_file"
"04_MANIFESTS\OUTPUT_MANIFEST.csv","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\04_MANIFESTS\OUTPUT_MANIFEST.csv","pc_local","9785","6c20f03569e1bc774208de0a6b82fa4fb73bb1f97263c0c74b36c0ec56fb84d0","generated_or_report_file"
"05_HASHES\SHA256SUMS.txt","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\05_HASHES\SHA256SUMS.txt","pc_local","6743","b4e9517261d56cbf96d3e2cf1a04a3371ae77cab2a72d48dab5bcd46e55598f9","generated_or_report_file"
"07_REPORTS\CONTINUITY_PACK_SECURITY_REDACTION_REPORT.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\07_REPORTS\CONTINUITY_PACK_SECURITY_REDACTION_REPORT.md","pc_local","1011","5a20ef55e21d2ea901f6143aee190608f4cabe6d8e2ebcd1572d1092a94881f1","generated_or_report_file"
"07_REPORTS\LEGACY_VM3_ROUTE_POLICY.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\07_REPORTS\LEGACY_VM3_ROUTE_POLICY.md","pc_local","360","246d63296240c1eba3d234b0d377037df3c4f4ff270b9920f0812f89a73301b2","generated_or_report_file"
"07_REPORTS\OPEN_BLOCKERS_V2.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\07_REPORTS\OPEN_BLOCKERS_V2.md","pc_local","1171","6aee0681111a99b1552eb6704af7f878889a616b2090c3140211c474dc59f377","generated_or_report_file"
"07_REPORTS\PACK_CONTENTS_OVERVIEW.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\07_REPORTS\PACK_CONTENTS_OVERVIEW.md","pc_local","942","0ce48bbac1878e8d450d3f827d71e06952364603160b49f0deb37bb9cb848a35","generated_or_report_file"
"07_REPORTS\REDACTION_FINDINGS.csv","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\07_REPORTS\REDACTION_FINDINGS.csv","pc_local","1354","6a9a71c901bc74b0e67b388462c3a21e3e6a804ad5ae9714297f95ad379b44d8","generated_or_report_file"
"07_REPORTS\SPECULUM_REVIEW_ACCEPTANCE_NOTES.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\07_REPORTS\SPECULUM_REVIEW_ACCEPTANCE_NOTES.md","pc_local","868","7f0eb39c2ccedfb0b4b8e1b2b2b8d56940d32ea2bba4726c1df452c3016395f5","generated_or_report_file"
"07_REPORTS\SSH_LIBRARY_RISK_CONTEXT_NOTE.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\07_REPORTS\SSH_LIBRARY_RISK_CONTEXT_NOTE.md","pc_local","477","e92719de473e6a7ad9bdcba6b3905517c7ee4102977c338c4b006e5a1c63b072","generated_or_report_file"
"08_OWNER_SUMMARY\FINAL_SERVITOR_REPORT_RU.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\08_OWNER_SUMMARY\FINAL_SERVITOR_REPORT_RU.md","pc_local","1099","c5dfd61ea48e2bcb240199290c8c065923a9fe70ac87d8b9a187a40201d86cfa","generated_or_report_file"
"08_OWNER_SUMMARY\OWNER_SUMMARY.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\08_OWNER_SUMMARY\OWNER_SUMMARY.md","pc_local","493","28fe92f3947a8c862cac68e445e64034e4512096bffd07ddf563096d1c8e5a48","generated_or_report_file"
"09_SOURCE_POINTERS\SOURCE_POINTERS.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\09_SOURCE_POINTERS\SOURCE_POINTERS.md","pc_local","879","7f7e0e379c0602b9b6dc7d2e4c80d9004ab46bdd2ab4652979eb9ff6a8add457","generated_or_report_file"
